TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
0.000000,10.0.0.1:49460,10.0.0.2:5000,0,345,86.362,10,0,0,0
0.231252,10.0.0.1:49460,10.0.0.2:5000,0,331,79.060,11,0,0,0
0.231980,10.0.0.1:49460,10.0.0.2:5000,345,318,71.716,11,0,0,0
0.232168,10.0.0.1:49460,10.0.0.2:5000,5,307,65.414,11,0,0,0
0.233761,10.0.0.1:49460,10.0.0.2:5000,6,297,59.174,6,1,3,1
0.234066,10.0.0.1:49460,10.0.0.2:5000,5,287,53.593,5,1,4,1
0.234224,10.0.0.1:49460,10.0.0.2:5000,0,281,46.918,12,0,0,1
0.235225,10.0.0.1:49460,10.0.0.2:5000,1210,275,40.941,13,0,0,1
0.236063,10.0.0.1:49460,10.0.0.2:5000,14,269,36.417,14,0,0,1
0.236493,10.0.0.1:49460,10.0.0.2:5000,14,264,32.391,15,0,0,1
0.236531,10.0.0.1:49460,10.0.0.2:5000,10,259,29.137,16,0,0,1
0.385831,10.0.0.1:49460,10.0.0.2:5000,0,246,29.869,17,0,0,1
0.393010,10.0.0.1:49460,10.0.0.2:5000,0,235,30.261,18,0,0,1
0.393348,10.0.0.1:49460,10.0.0.2:5000,0,235,30.261,18,0,0,1
0.393361,10.0.0.1:49460,10.0.0.2:5000,0,226,30.552,19,0,0,1
0.396053,10.0.0.1:49460,10.0.0.2:5000,0,217,30.636,20,0,0,1
0.396209,10.0.0.1:49460,10.0.0.2:5000,0,209,30.690,21,0,0,1
0.399530,10.0.0.1:49460,10.0.0.2:5000,0,202,29.682,22,0,0,1
0.399872,10.0.0.1:49460,10.0.0.2:5000,0,196,28.584,23,0,0,1
0.400781,10.0.0.1:49460,10.0.0.2:5000,0,191,26.858,24,0,0,1
0.402964,10.0.0.1:49460,10.0.0.2:5000,0,186,24.960,25,0,0,1
0.403347,10.0.0.1:49460,10.0.0.2:5000,0,182,22.890,26,0,0,1
0.407290,10.0.0.1:49460,10.0.0.2:5000,0,178,20.718,27,0,0,1
0.409577,10.0.0.1:49460,10.0.0.2:5000,0,175,18.359,28,0,0,1
0.409990,10.0.0.1:49460,10.0.0.2:5000,0,172,16.646,29,0,0,1
0.410001,10.0.0.1:49460,10.0.0.2:5000,0,170,15.000,30,0,0,1
0.413144,10.0.0.1:49460,10.0.0.2:5000,0,168,13.411,31,0,0,1
0.413636,10.0.0.1:49460,10.0.0.2:5000,0,166,11.888,32,0,0,1
0.538240,10.0.0.1:49460,10.0.0.2:5000,1,164,10.682,33,0,0,1
0.541476,10.0.0.1:49460,10.0.0.2:5000,1,163,9.151,34,0,0,1
0.547001,10.0.0.1:49460,10.0.0.2:5000,1,162,8.067,35,0,0,1
0.548039,10.0.0.1:49460,10.0.0.2:5000,1,161,6.973,36,0,0,1
0.598256,10.0.0.1:49460,10.0.0.2:5000,1,166,10.334,37,0,0,1
0.599403,10.0.0.1:49460,10.0.0.2:5000,1,171,12.360,38,0,0,1
0.599446,10.0.0.1:49460,10.0.0.2:5000,1,174,12.860,40,0,0,1
0.599455,10.0.0.1:49460,10.0.0.2:5000,1,177,12.396,42,0,0,1
